woreda,woreda uid,zone,zone id,region,region id
Dubluk,ORG00000368,Borena  ,ORG00000361,Oromia,ORG00000311
Dubti,ORG00000025,Awsa,ORG00000014,Afar,ORG00000013
Dugda,ORG00000425,E. Shewa ,ORG00000413,Oromia,ORG00000311
Dugda Dawa,ORG00000633,West Guji,ORG00000631,Oromia,ORG00000311
Duguna Fango,ORG00000834,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Duhun,ORG00000908,Nogobo  ,ORG00000904,Somali,ORG00000843
Dukem Town,ORG00000453,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Dulech,ORG00000037,Gabi,ORG00000035,Afar,ORG00000013
Duna,ORG00000737,Hadiya  ,ORG00000731,SNNPR,ORG00000668
Durame Town,ORG00000758,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
East Belesa,ORG00000108,N. Gonder,ORG00000085,Amhara,ORG00000053
East Emi,ORG00000920,Shebele  ,ORG00000914,Somali,ORG00000843
Ebantu,ORG00000448,E. Wellega ,ORG00000431,Oromia,ORG00000311
Ebinat,ORG00000162,S. Gonder,ORG00000157,Amhara,ORG00000053
Efratanagidem,ORG00000114,N. Shoa,ORG00000109,Amhara,ORG00000053
Ejere,ORG00000597,W. Shewa ,ORG00000589,Oromia,ORG00000311
Ejersa Lafo,ORG00000606,W. Shewa ,ORG00000589,Oromia,ORG00000311
Elfeta,ORG00000592,W. Shewa ,ORG00000589,Oromia,ORG00000311
Elidar,ORG00000030,Awsa,ORG00000014,Afar,ORG00000013
Eliwaye,ORG00000370,Borena  ,ORG00000361,Oromia,ORG00000311
Elkere,ORG00000853,Afder  ,ORG00000844,Somali,ORG00000843
Elu,ORG00000565,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Enarje Enawuga,ORG00000081,E. Gojam,ORG00000066,Amhara,ORG00000053
Enda mohoni,ORG00000985,South Tigray ,ORG00000980,Tigray,ORG00000934
Endegagn,ORG00000826,West Gurage ,ORG00000825,SNNPR,ORG00000668
Enderta,ORG00000979,South East ,ORG00000975,Tigray,ORG00000934
Enebsie Sarmeder,ORG00000078,E. Gojam,ORG00000066,Amhara,ORG00000053
Enemay,ORG00000077,E. Gojam,ORG00000066,Amhara,ORG00000053
Enemorna Ener,ORG00000730,Gurage  ,ORG00000719,SNNPR,ORG00000668
Enkelo Wabe,ORG00000320,Arsi  ,ORG00000312,Oromia,ORG00000311
Ensaro,ORG00000130,N. Shoa,ORG00000109,Amhara,ORG00000053
Erebti,ORG00000044,Harri,ORG00000040,Afar,ORG00000013
Erer,ORG00000931,Siti  ,ORG00000925,Somali,ORG00000843
Erer,ORG00000306,Harare  ,ORG00000301,Harare,ORG00000299
Erob,ORG00000949,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Essera,ORG00000682,Dawro  ,ORG00000681,SNNPR,ORG00000668
Estie (East Estie),ORG00000167,S. Gonder,ORG00000157,Amhara,ORG00000053
Ewa,ORG00000043,Harri,ORG00000040,Afar,ORG00000013
Ezha,ORG00000720,Gurage  ,ORG00000719,SNNPR,ORG00000668
Fagita Lekoma,ORG00000062,Awi,ORG00000054,Amhara,ORG00000053
Farta,ORG00000158,S. Gonder,ORG00000157,Amhara,ORG00000053
Fedis,ORG00000398,E. Harerge ,ORG00000388,Oromia,ORG00000311
Fentale,ORG00000424,E. Shewa ,ORG00000413,Oromia,ORG00000311
Ferfer,ORG00000922,Shebele  ,ORG00000914,Somali,ORG00000843
Fiche Town,ORG00000552,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Fik,ORG00000913,Nogobo  ,ORG00000904,Somali,ORG00000843
Filtu,ORG00000901,Liban  ,ORG00000896,Somali,ORG00000843
Finote Selam,ORG00000213,West Gojam,ORG00000201,Amhara,ORG00000053
Fogera,ORG00000168,S. Gonder,ORG00000157,Amhara,ORG00000053
Gablalu,ORG00000933,Siti  ,ORG00000925,Somali,ORG00000843
Gadeb Asasa,ORG00000617,West Arsi ,ORG00000613,Oromia,ORG00000311
Galadin,ORG00000870,Dollo  ,ORG00000868,Somali,ORG00000843
Gambela Town,ORG00000275,Gambella,ORG00000274,Gambella,ORG00000267
Gambella,ORG00000269,Agnua II ,ORG00000268,Gambella,ORG00000267
Ganta Afeshum,ORG00000953,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Garbo,ORG00000909,Nogobo  ,ORG00000904,Somali,ORG00000843
Gasara,ORG00000355,Bale  ,ORG00000340,Oromia,ORG00000311
Gashamo,ORG00000867,Degehabur  ,ORG00000857,Somali,ORG00000843
Gawo Kebe,ORG00000537,Kelem Wellega ,ORG00000531,Oromia,ORG00000311
Gazgibla,ORG00000199,Wag Hemra,ORG00000193,Amhara,ORG00000053
Gazo,ORG00000148,N. Wello,ORG00000134,Amhara,ORG00000053
Gechi,ORG00000385,Buno Bedele,ORG00000377,Oromia,ORG00000311
Gedeb,ORG00000711,Gedio  ,ORG00000710,SNNPR,ORG00000668
Gedebano Gutazer Welen (Kokir),ORG00000724,Gurage  ,ORG00000719,SNNPR,ORG00000668
Gelana,gffPrSLK5g5,Borena  ,ORG00000361,Oromia,ORG00000311
Gelana,ORG00000632,West Guji,ORG00000631,Oromia,ORG00000311
Gelan Town,ORG00000454,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
